V ;num_sommet ;nom_sommet ;numéro_ligne ;si_terminus ;branchement
V ;0287 ;Quai de la Gare ;6 ;False ;0
V ;0288 ;Quai de la Rapée ;5 ;False ;0
V ;0289 ;Quatre Septembre ;3 ;False ;0
V ;0290 ;Rambuteau ;11 ;False ;0
V ;0291 ;Ranelagh ;9 ;False ;0
V ;0292 ;Raspail ;4 ;False ;0
V ;0293 ;Raspail ;6 ;False ;0
V ;0294 ;Rennes ;12 ;False ;0
V ;0295 ;Reuilly Diderot ;1 ;False ;0
V ;0296 ;Reuilly Diderot ;8 ;False ;0
V ;0297 ;Richard Lenoir ;5 ;False ;0
V ;0298 ;Richelieu Drouot ;8 ;False ;0
V ;0299 ;Richelieu Drouot ;9 ;False ;0
V ;0300 ;Riquet ;7 ;False ;0
V ;0301 ;Robespierre ;9 ;False ;0
V ;0302 ;Rome ;2 ;False ;0
V ;0303 ;Rue Montmartre, Grands Boulevards ;8 ;False ;0
V ;0304 ;Rue Montmartre, Grands Boulevards ;9 ;False ;0
V ;0305 ;Rue Saint-Maur ;3 ;False ;0
V ;0306 ;Rue de la Pompe ;9 ;False ;0
V ;0307 ;Rue des Boulets ;9 ;False ;0
V ;0308 ;Rue du Bac ;12 ;False ;0
V ;0309 ;Réaumur Sébastopol ;3 ;False ;0
V ;0310 ;Réaumur Sébastopol ;4 ;False ;0
V ;0311 ;République ;11 ;False ;0
V ;0312 ;République ;3 ;False ;0
V ;0313 ;République ;5 ;False ;0
V ;0314 ;République ;8 ;False ;0
V ;0315 ;République ;9 ;False ;0
V ;0316 ;Saint-Ambroise ;9 ;False ;0
V ;0317 ;Saint-Augustin ;9 ;False ;0
V ;0318 ;Saint-Denis-Porte de Paris ;13 ;False ;1
V ;0319 ;Saint-Denis-Université ;13 ;True ;1
V ;0320 ;Saint-Fargeau ;3bis ;False ;0
V ;0321 ;Saint-Francois Xavier ;13 ;False ;0
V ;0322 ;Saint-Georges ;12 ;False ;0
V ;0323 ;Saint-Germain-des-Prés ;4 ;False ;0
V ;0324 ;Saint-Jacques ;6 ;False ;0
V ;0325 ;Saint-Lazare ;12 ;False ;0
V ;0326 ;Saint-Lazare ;13 ;False ;0
V ;0327 ;Saint-Lazare ;3 ;False ;0
V ;0328 ;Saint-Mandé, Tourelle ;1 ;False ;0
V ;0329 ;Saint-Marcel ;5 ;False ;0
V ;0330 ;Saint-Michel ;4 ;False ;0
V ;0331 ;Saint-Paul, Le Marais ;1 ;False ;0
V ;0332 ;Saint-Philippe du Roule ;9 ;False ;0
V ;0333 ;Saint-Placide ;4 ;False ;0
V ;0334 ;Saint-Sulpice ;4 ;False ;0
V ;0335 ;Saint-Sébastien-Froissart ;8 ;False ;0
V ;0336 ;Sentier ;3 ;False ;0
V ;0337 ;Simplon ;4 ;False ;0
V ;0338 ;Solférino ;12 ;False ;0
V ;0339 ;Stalingrad ;2 ;False ;0
V ;0340 ;Stalingrad ;5 ;False ;0
V ;0341 ;Stalingrad ;7 ;False ;0
V ;0342 ;Strasbourg Saint-Denis ;4 ;False ;0
V ;0343 ;Strasbourg Saint-Denis ;8 ;False ;0
V ;0344 ;Strasbourg Saint-Denis ;9 ;False ;0
V ;0345 ;Sully Morland ;7 ;False ;0
V ;0346 ;Sèvres Babylone ;10 ;False ;0
V ;0347 ;Sèvres Babylone ;12 ;False ;0
V ;0348 ;Sèvres Lecourbe ;6 ;False ;0
V ;0349 ;Ségur ;10 ;False ;0
V ;0350 ;Temple ;3 ;False ;0
V ;0351 ;Ternes ;2 ;False ;0
V ;0352 ;Tolbiac ;7 ;False ;0
V ;0353 ;Trinité d'Estienne d'Orves ;12 ;False ;0
V ;0354 ;Trocadéro ;6 ;False ;0
V ;0355 ;Trocadéro ;9 ;False ;0
V ;0356 ;Tuileries ;1 ;False ;0
V ;0357 ;Télégraphe ;11 ;False ;0
V ;0358 ;Vaneau ;10 ;False ;0
V ;0359 ;Varenne ;13 ;False ;0
V ;0360 ;Vaugirard ;12 ;False ;0
V ;0361 ;Vavin ;4 ;False ;0
V ;0362 ;Victor Hugo ;2 ;False ;0
V ;0363 ;Villejuif, Louis Aragon ;7 ;True ;2
V ;0364 ;Villejuif, Léo Lagrange ;7 ;False ;2
V ;0365 ;Villejuif, P. Vaillant Couturier ;7 ;False ;2
V ;0366 ;Villiers ;2 ;False ;0
V ;0367 ;Villiers ;3 ;False ;0
V ;0368 ;Volontaires ;12 ;False ;0
V ;0369 ;Voltaire ;9 ;False ;0
V ;0370 ;Wagram ;3 ;False ;0
V ;0371 ;École Militaire ;8 ;False ;0
V ;0372 ;École Vétérinaire de Maisons-Alfort ;8 ;False ;0
V ;0373 ;Église d'Auteuil ;10 ;False ;0
V ;0374 ;Église de Pantin ;5 ;False ;0
V ;0375 ;Étienne Marcel ;4 ;False ;0
